,play-team-vtm-link,play-team-vtm,quarter,time,score,neutral,play-team-htm-link,play-team-htm,play-team-vtm-video-url,play-team-htm-video-url
0,,,1,10:00,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=4&Season=2025&title=Jump Ball Boston vs. Nelson-Ododa: Tip to Charles&SeasonType=Regular Season&LeagueID=10,Jump Ball Boston vs. Nelson-Ododa: Tip to Charles,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/4/b05d7a8d-1b5b-87d0-9eab-2665632dffaf_1280x720.mp4
1,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=7&Season=2025&title=MISS Charles 7' Driving Hook Shot&SeasonType=Regular Season&LeagueID=10,MISS Charles 7' Driving Hook Shot,1,9:41,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/7/c3ca876a-f1f0-eac5-13e3-c88acf86770a_1280x720.mp4,
2,,,1,9:38,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=8&Season=2025&title=Boston REBOUND (Off:0 Def:1)&SeasonType=Regular Season&LeagueID=10,Boston REBOUND (Off:0 Def:1),,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/8/9d8691ab-0d02-024c-4f22-e33c38e3b2b9_1280x720.mp4
3,,,1,9:25,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=9&Season=2025&title=MISS Clark 17' Step Back Jump Shot&SeasonType=Regular Season&LeagueID=10,MISS Clark 17' Step Back Jump Shot,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/9/78398118-d6ee-60ba-9d3d-46c2a7326e0e_1280x720.mp4
4,,,1,9:23,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=10&Season=2025&title=FEVER Rebound&SeasonType=Regular Season&LeagueID=10,FEVER Rebound,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/10/c12e0022-9243-7776-acaa-8cccf60d0181_1280x720.mp4
5,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=12&Season=2025&title=Sheldon STEAL (1 STL)&SeasonType=Regular Season&LeagueID=10,Sheldon STEAL (1 STL),1,9:18,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=12&Season=2025&title=Clark Bad Pass Turnover (P1.T1)&SeasonType=Regular Season&LeagueID=10,Clark Bad Pass Turnover (P1.T1),https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/12/d1d86ddc-0afe-fb63-876d-26e819645a0d_1280x720.mp4,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/12/d1d86ddc-0afe-fb63-876d-26e819645a0d_1280x720.mp4
6,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=14&Season=2025&title=MISS Mabrey 3PT Step Back Jump Shot&SeasonType=Regular Season&LeagueID=10,MISS Mabrey 3PT Step Back Jump Shot,1,9:09,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/14/51e45943-0f4a-17d1-6f71-5c71b82f4073_1280x720.mp4,
7,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=15&Season=2025&title=Nelson-Ododa REBOUND (Off:1 Def:0)&SeasonType=Regular Season&LeagueID=10,Nelson-Ododa REBOUND (Off:1 Def:0),1,9:06,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/15/d528ee3a-9db9-c002-a4df-f9d8ce7b2bd3_1280x720.mp4,
8,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=16&Season=2025&title=MISS Hartley 19' Step Back Jump Shot&SeasonType=Regular Season&LeagueID=10,MISS Hartley 19' Step Back Jump Shot,1,8:58,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/16/cd588fa8-0b6f-7014-d7d3-1486d51f8e1e_1280x720.mp4,
9,,,1,8:54,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=17&Season=2025&title=Mitchell REBOUND (Off:0 Def:1)&SeasonType=Regular Season&LeagueID=10,Mitchell REBOUND (Off:0 Def:1),,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/17/f746f636-0f5f-1568-c7e8-0a215335ca24_1280x720.mp4
